Optimizer,Dataset,objfname,Experiment,startTime,EndTime,ExecutionTime,trainAcc,testAcc,valAcc,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20
Improved_GWO,data,FN1,1,2025-01-24-20-36-48,2025-01-24-20-59-04,1336.1914539337158,0.9883720930232558,0.3716216216216216,0.7500426257459505,0.6045014569316686,0.5987697596073293,0.5987697596073293,0.5987697596073293,0.5987697596073293,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985664245256744,0.5985125659473168,0.5985125659473168,0.5985125659473168,0.5985125659473168,0.5985125659473168,50276.0,50150.0,50150.0,50150.0,50150.0,50252.0,50252.0,50252.0,50252.0,50252.0,50252.0,50252.0,50252.0,50252.0,50252.0,50279.0,50279.0,50279.0,50279.0,50279.0
Improved_GWO,data,FN1,2,2025-01-24-21-01-16,2025-01-24-21-48-41,2845.7861802577972,0.9883720930232558,0.3783783783783784,0.7529838022165387,0.604120055268078,0.5988673667138771,0.5988673667138771,0.5988673667138771,0.5987418631043595,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,0.5984886241541273,50467.0,50101.0,50101.0,50101.0,50164.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0,50291.0
Improved_GWO,data,FN1,3,2025-01-24-21-50-35,2025-01-24-22-07-22,1006.8413269519806,0.9912790697674418,0.38513513513513514,0.7500852514919011,0.5985424891671408,0.5985424891671408,0.5985424891671408,0.5985424891671408,0.5985424891671408,0.5985424891671408,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,0.5982630320055207,50264.0,50264.0,50264.0,50264.0,50264.0,50264.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0,50404.0
Improved_GWO,data,FN1,4,2025-01-24-22-09-16,2025-01-24-22-30-17,1261.85480260849,0.9883720930232558,0.3918918918918919,0.7471014492753623,0.6050493229160279,0.6044356120850216,0.6043817229419567,0.6043477853130412,0.604235950176135,0.604235950176135,0.6039980937104718,0.6039980937104718,0.6039980937104718,0.6039980937104718,0.5984966050696184,0.5984966050696184,0.5984966050696184,0.5984966050696184,0.5984966050696184,0.5984966050696184,0.5984966050696184,0.5984966050696184,0.5984966050696184,0.5984966050696184,50001.0,50309.0,50336.0,50353.0,50409.0,50409.0,50528.0,50528.0,50528.0,50528.0,50287.0,50287.0,50287.0,50287.0,50287.0,50287.0,50287.0,50287.0,50287.0,50287.0
Improved_GWO,data,FN1,5,2025-01-24-22-32-14,2025-01-24-22-50-26,1091.3704357147217,0.9854651162790697,0.3783783783783784,0.7500426257459505,0.6039060738209852,0.6039060738209852,0.6039060738209852,0.6039060738209852,0.5986601438107207,0.5986601438107207,0.5986601438107207,0.5981311529036968,0.5981311529036968,0.5981311529036968,0.5981311529036968,0.5981311529036968,0.5981311529036968,0.5981311529036968,0.5981311529036968,0.5978931522656399,0.5978931522656399,0.5978931522656399,0.5978931522656399,0.5978931522656399,50574.0,50574.0,50574.0,50574.0,50205.0,50205.0,50205.0,50470.0,50470.0,50470.0,50470.0,50470.0,50470.0,50470.0,50470.0,50589.0,50589.0,50589.0,50589.0,50589.0
Improved_GWO,data,FN1,6,2025-01-24-22-52-26,2025-01-24-23-09-33,1027.124350309372,0.9883720930232558,0.36486486486486486,0.7500852514919011,0.6039860934995774,0.5981791189505502,0.5981791189505502,0.5981791189505502,0.5981791189505502,0.5981791189505502,0.5930437167944959,0.5930437167944959,0.5930437167944959,0.5930437167944959,0.5930437167944959,0.5930437167944959,0.5930437167944959,0.5929103484903573,0.5929103484903573,0.5929103484903573,0.5929103484903573,0.5929103484903573,0.5929103484903573,0.5929103484903573,50534.0,50446.0,50446.0,50446.0,50446.0,50446.0,50021.0,50021.0,50021.0,50021.0,50021.0,50021.0,50021.0,50088.0,50088.0,50088.0,50088.0,50088.0,50088.0,50088.0
Improved_GWO,data,FN1,7,2025-01-24-23-11-27,2025-01-24-23-28-29,1021.8122670650482,0.9912790697674418,0.3783783783783784,0.7500426257459505,0.5994500223109576,0.5994500223109576,0.5994500223109576,0.5994500223109576,0.5989211298452097,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,0.5986402072114008,49808.0,49808.0,49808.0,49808.0,50074.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0,50215.0
Improved_GWO,data,FN1,8,2025-01-24-23-30-21,2025-01-24-23-50-02,1180.6113801002502,0.9883720930232558,0.3918918918918919,0.7500852514919011,0.6046629844069518,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5988056208200536,0.5987856987184939,0.5987856987184939,0.5987856987184939,0.5987856987184939,0.5987856987184939,0.5987856987184939,0.5981451441824188,0.5981451441824188,50195.0,50132.0,50132.0,50132.0,50132.0,50132.0,50132.0,50132.0,50132.0,50132.0,50132.0,50132.0,50142.0,50142.0,50142.0,50142.0,50142.0,50142.0,50463.0,50463.0
Improved_GWO,data,FN1,9,2025-01-24-23-52-39,2025-01-25-00-19-20,1600.9052891731262,0.9883720930232558,0.38513513513513514,0.7529411764705882,0.6042179708627928,0.6042179708627928,0.6042179708627928,0.6042179708627928,0.6042179708627928,0.6042179708627928,0.6042179708627928,0.603948088114641,0.5985604409541513,0.5985604409541513,0.5985604409541513,0.5985604409541513,0.5985604409541513,0.5985604409541513,0.598346910026466,0.598346910026466,0.598346910026466,0.598346910026466,0.598346910026466,0.598346910026466,50418.0,50418.0,50418.0,50418.0,50418.0,50418.0,50418.0,50553.0,50255.0,50255.0,50255.0,50255.0,50255.0,50255.0,50362.0,50362.0,50362.0,50362.0,50362.0,50362.0
Improved_GWO,data,FN1,10,2025-01-25-00-21-36,2025-01-25-00-44-23,1367.7969987392426,0.9854651162790697,0.40540540540540543,0.7383631713554987,0.6042239641459857,0.5989091837338739,0.5989091837338739,0.5989091837338739,0.5989091837338739,0.5989091837338739,0.5986461883997263,0.5986461883997263,0.5986461883997263,0.5984786475629111,0.5984786475629111,0.5984786475629111,0.5984786475629111,0.5984786475629111,0.5984786475629111,0.5984786475629111,0.5982290714179481,0.5982290714179481,0.5982290714179481,0.5982290714179481,50415.0,50080.0,50080.0,50080.0,50080.0,50080.0,50212.0,50212.0,50212.0,50296.0,50296.0,50296.0,50296.0,50296.0,50296.0,50296.0,50421.0,50421.0,50421.0,50421.0
